rhoc,M,R,Lambda
2.800000000000000000e+14,5.812666115827324065e-01,1.530002350000049383e+01,1.094171738144974806e+05
2.828035043804756250e+14,5.908075720666966513e-01,1.528002360000049187e+01,1.013633592304745689e+05
2.856070087609511875e+14,6.001962948901393702e-01,1.526002370000048991e+01,9.410479077004478313e+04
2.884105131414268125e+14,6.096998610088465442e-01,1.524002380000048795e+01,8.737305625258934742e+04
2.912140175219023750e+14,6.192468746349513165e-01,1.522002390000048599e+01,8.116955551204916264e+04
2.940175219023780000e+14,6.286476625001707896e-01,1.521002395000048502e+01,7.556224776636611205e+04
2.968210262828535625e+14,6.379460070192781718e-01,1.519002405000048306e+01,7.045339761376808747e+04
2.996245306633291875e+14,6.475050152529429059e-01,1.517002415000047932e+01,6.561589762085161055e+04
3.024280350438047500e+14,6.569147786384872401e-01,1.516002420000047834e+01,6.122715616243324621e+04
3.052315394242803750e+14,6.661818203323280896e-01,1.515002425000047737e+01,5.723652142791470396e+04
3.080350438047559375e+14,6.755356277905032458e-01,1.513002435000047541e+01,5.350991078684954846e+04
3.108385481852315625e+14,6.849580509466923761e-01,1.512002440000047443e+01,5.003785222659560532e+04
3.136420525657071250e+14,6.942394749193125936e-01,1.511002445000047345e+01,4.687063177486133645e+04
3.164455569461827500e+14,7.033728524005358196e-01,1.509002455000047149e+01,4.397870651928184816e+04
3.192490613266583125e+14,7.127349985589626069e-01,1.508002460000047051e+01,4.122749072873361001e+04
3.220525657071339375e+14,7.220329380370587025e-01,1.507002465000046953e+01,3.868753867630107561e+04
3.248560700876095000e+14,7.311906458951448196e-01,1.506002470000046856e+01,3.636147502918704413e+04
3.276595744680851250e+14,7.402093661136598390e-01,1.505002475000046580e+01,3.422772362166444509e+04
3.304630788485606875e+14,7.495208767789053317e-01,1.504002480000046482e+01,3.217313269585819216e+04
3.332665832290363125e+14,7.587111363782990114e-01,1.503002485000046384e+01,3.028464291153735030e+04
3.360700876095118750e+14,7.677561094005875830e-01,1.502002490000046286e+01,2.854724118042737973e+04
3.388735919899875000e+14,7.766680111465327219e-01,1.501002495000046189e+01,2.694768757668753460e+04
3.416770963704630625e+14,7.858780326895973278e-01,1.500002500000046091e+01,2.540093199726730381e+04
3.444806007509386875e+14,7.949635719865189021e-01,1.499002505000045993e+01,2.397408842534000723e+04
3.472841051314142500e+14,8.039086991273438620e-01,1.498002510000045895e+01,2.265865302182827145e+04
3.500876095118898750e+14,8.127159714901041054e-01,1.498002510000045895e+01,2.144272407869120434e+04
