pressurec2,energy_densityc2,baryon_density
1.12318959e-12,7.81442513e+00,7.91150481e+00
1.12318959e-11,7.85419249e+00,7.96168348e+00
1.12318959e-10,8.10274464e+00,8.21257687e+00
1.34561242e-09,1.15327419e+01,1.16916318e+01
1.55690005e-08,1.63049094e+01,1.65589636e+01
1.89053430e-07,4.48385159e+01,4.54953342e+01
6.47225475e-06,2.10770770e+02,2.12423068e+02
2.11287764e-04,1.14333217e+03,1.15912745e+03
1.08360022e-02,1.03794673e+04,1.05291591e+04
5.52477850e-02,2.60679704e+04,2.64441630e+04
2.70343330e-01,6.54880648e+04,6.64365689e+04
1.27999505e+00,1.64440970e+05,1.66860829e+05
5.85914040e+00,4.15587903e+05,4.19159260e+05
2.57908991e+01,1.04396961e+06,1.05274875e+06
1.08537628e+02,2.62192368e+06,2.64441656e+06
4.35151882e+02,6.58780824e+06,6.64365754e+06
5.85135195e+02,8.29275862e+06,8.36311372e+06
1.59663245e+03,1.65495183e+07,1.66860845e+07
4.26473323e+03,3.30190389e+07,3.32851926e+07
1.11931167e+04,6.58880821e+07,6.64365754e+07
2.89730376e+04,1.31496172e+08,1.32538626e+08
7.42795696e+04,2.62392362e+08,2.64441656e+08
9.72221209e+04,3.30390383e+08,3.32851926e+08
1.81248381e+05,5.23684757e+08,5.27712476e+08
3.37017400e+05,8.30075838e+08,8.36311372e+08
4.59407344e+05,1.04496958e+09,1.05274875e+09
5.60323416e+05,1.31596170e+09,1.32538626e+09
7.63268195e+05,1.65695177e+09,1.66860845e+09
1.41527281e+06,2.62592357e+09,2.64441656e+09
2.62137007e+06,4.16387880e+09,4.19159260e+09
4.85331759e+06,6.60080787e+09,6.64365754e+09
6.29974420e+06,8.31175806e+09,8.36311372e+09
8.56952134e+06,1.04596955e+10,1.05274875e+10
1.16604237e+07,1.31796164e+10,1.32538626e+10
1.58550609e+07,1.65895171e+10,1.66860845e+10
2.15628828e+07,2.08993917e+10,2.10081417e+10
2.78492754e+07,2.63092342e+10,2.64441656e+10
3.78741245e+07,3.31290357e+10,3.32851926e+10
5.14927873e+07,4.17187857e+10,4.19159260e+10
6.61907069e+07,5.25384707e+10,5.27712476e+10
9.00011142e+07,6.61680740e+10,6.64365754e+10
1.22389944e+08,8.33175748e+10,8.36311372e+10
1.66339060e+08,1.04896947e+11,1.05274875e+11
2.26198869e+08,1.32196152e+11,1.32538626e+11
2.88951531e+08,1.66395157e+11,1.66860845e+11
3.21774289e+08,1.84394633e+11,1.84824813e+11
3.66057196e+08,2.09593899e+11,2.10081417e+11
4.97682017e+08,2.63992316e+11,2.64441656e+11
6.47109012e+08,3.32490322e+11,3.32851926e+11
8.38704906e+08,4.18787810e+11,4.19159260e+11
8.68412284e+08,4.29887487e+11,4.30198570e+11
9.72354725e+08,6.69120523e+11,6.69049097e+11
1.40281128e+09,1.00427077e+12,1.00357365e+12
2.07261807e+09,1.67485125e+12,1.67262274e+12
7.51885931e+09,6.70980469e+12,6.69049097e+12
1.98405225e+10,1.34316090e+13,1.33809819e+13
3.66557882e+10,2.01604132e+13,2.00714729e+13
5.69413651e+10,2.68962171e+13,2.67619639e+13
8.01498363e+10,3.36370209e+13,3.34524549e+13
1.05971889e+11,4.03828245e+13,4.01429458e+13
1.34239516e+11,4.71326281e+13,4.68334368e+13
1.64848128e+11,5.38874315e+13,5.35239278e+13
1.97771023e+11,6.06462347e+13,6.02144188e+13
2.32997074e+11,6.74080379e+13,6.69049097e+13
2.70548534e+11,7.41738410e+13,7.35954007e+13
3.10481035e+11,8.09436439e+13,8.02858917e+13
3.52827956e+11,8.77164468e+13,8.69763827e+13
3.97678307e+11,9.44932495e+13,9.36668736e+13
4.45087720e+11,1.01277052e+14,1.00357365e+14
4.95145208e+11,1.08056855e+14,1.07047856e+14
5.47928652e+11,1.14836657e+14,1.13738347e+14
6.03538192e+11,1.21626460e+14,1.20428838e+14
6.62062838e+11,1.28426262e+14,1.27119329e+14
7.23580475e+11,1.35216064e+14,1.33809819e+14
2.91465361e+12,2.01778115e+14,2.00714719e+14
3.75241590e+12,2.18868912e+14,2.17440945e+14
4.72437479e+12,2.36029211e+14,2.34167172e+14
5.84195801e+12,2.53263974e+14,2.50893399e+14
7.09834566e+12,2.70578001e+14,2.67619625e+14
8.47541563e+12,2.87974319e+14,2.84345852e+14
9.98718718e+12,3.05455414e+14,3.01072078e+14
1.16539111e+13,3.23024732e+14,3.17798305e+14
1.34850605e+13,3.40686016e+14,3.34524531e+14
1.54911150e+13,3.58443157e+14,3.51250758e+14
1.76814363e+13,3.76300143e+14,3.67976985e+14
2.00652375e+13,3.94261022e+14,3.84703211e+14
2.26514642e+13,4.12329882e+14,4.01429438e+14
2.54489044e+13,4.30510844e+14,4.18155664e+14
2.84662001e+13,4.48808044e+14,4.34881891e+14
3.17118699e+13,4.67225632e+14,4.51608117e+14
3.51943198e+13,4.85767763e+14,4.68334344e+14
3.89218528e+13,5.04438595e+14,4.85060571e+14
4.29026750e+13,5.23242282e+14,5.01786797e+14
4.71449016e+13,5.42182974e+14,5.18513024e+14
5.16565612e+13,5.61264814e+14,5.35239250e+14
5.64456000e+13,5.80491936e+14,5.51965477e+14
6.10000000e+13,1.19576648e+15,1.19420956e+15
6.57356938e+13,1.20050218e+15,1.19870109e+15
7.08390399e+13,1.20560552e+15,1.20352254e+15
7.63385809e+13,1.21110506e+15,1.20869678e+15
8.22650750e+13,1.21703156e+15,1.21424803e+15
8.86516685e+13,1.22341815e+15,1.22020197e+15
9.55340809e+13,1.23030056e+15,1.22658580e+15
1.02950805e+14,1.23771729e+15,1.23342824e+15
1.10943321e+14,1.24570980e+15,1.24075964e+15
1.19556331e+14,1.25432281e+15,1.24861203e+15
1.28838006e+14,1.26360449e+15,1.25701912e+15
1.38840257e+14,1.27360674e+15,1.26601639e+15
1.49619027e+14,1.28438551e+15,1.27564113e+15
1.61234599e+14,1.29600108e+15,1.28593243e+15
1.73751938e+14,1.30851842e+15,1.29693127e+15
1.87241052e+14,1.32200753e+15,1.30868052e+15
2.01777384e+14,1.33654387e+15,1.32122496e+15
2.17442235e+14,1.35220872e+15,1.33461129e+15
2.34323216e+14,1.36908970e+15,1.34888815e+15
2.52514741e+14,1.38728122e+15,1.36410612e+15
2.72118552e+14,1.40688503e+15,1.38031771e+15
2.93244292e+14,1.42801077e+15,1.39757739e+15
3.16010114e+14,1.45077660e+15,1.41594150e+15
3.40543346e+14,1.47530983e+15,1.43546833e+15
3.66981198e+14,1.50174768e+15,1.45621801e+15
3.95471536e+14,1.53023802e+15,1.47825257e+15
4.26173701e+14,1.56094018e+15,1.50163585e+15
4.59259408e+14,1.59402589e+15,1.52643353e+15
4.94913702e+14,1.62968018e+15,1.55271309e+15
5.33335993e+14,1.66810248e+15,1.58054376e+15
5.74741172e+14,1.70950765e+15,1.60999659e+15
6.19360814e+14,1.75412730e+15,1.64114434e+15
6.67444473e+14,1.80221096e+15,1.67406159e+15
7.19261073e+14,1.85402756e+15,1.70882465e+15
7.75100420e+14,1.90986690e+15,1.74551165e+15
8.35274818e+14,1.97004130e+15,1.78420254e+15
9.00120814e+14,2.03488730e+15,1.82497913e+15
9.70001085e+14,2.10476757e+15,1.86792516e+15
1.04530646e+15,2.18007295e+15,1.91312635e+15
1.12645812e+15,2.26122461e+15,1.96067050e+15
1.21390994e+15,2.34867642e+15,2.01064756e+15
1.30815102e+15,2.44291750e+15,2.06314973e+15
1.40970844e+15,2.54447492e+15,2.11827164e+15
1.51915020e+15,2.65391668e+15,2.17611039e+15
1.63708840e+15,2.77185488e+15,2.23676576e+15
1.76418265e+15,2.89894913e+15,2.30034033e+15
1.90114378e+15,3.03591026e+15,2.36693968e+15
2.04873779e+15,3.18350427e+15,2.43667251e+15
2.20779016e+15,3.34255664e+15,2.50965088e+15
2.37919046e+15,3.51395694e+15,2.58599036e+15
2.56389730e+15,3.69866378e+15,2.66581027e+15
2.76294374e+15,3.89771022e+15,2.74923387e+15
2.97744301e+15,4.11220949e+15,2.83638855e+15
3.20859478e+15,4.34336126e+15,2.92740612e+15
3.45769187e+15,4.59245835e+15,3.02242298e+15
3.72612744e+15,4.86089392e+15,3.12158037e+15
4.01540283e+15,5.15016931e+15,3.22502466e+15
4.32713591e+15,5.46190239e+15,3.33290752e+15
4.66307018e+15,5.79783666e+15,3.44538626e+15
