m1_source,m2_source,chi1,chi2,dL,Lambda1,Lambda2
1.400392800668347926e+00,1.323603612350705117e+00,1.926027661678120229e-02,1.447704992628663038e-04,4.659269849057433532e+01,3.179228278978952744e+02,6.889270431136760635e+02
1.370837441823731462e+00,1.353084469911764565e+00,1.474144984645242920e-02,3.631269723302977398e-02,4.495818118494246818e+01,9.298330797199902236e+02,4.239985771509511778e+02
1.494745371410453272e+00,1.248890767418817660e+00,2.508818607757763719e-02,3.299792608110767994e-02,3.361412299606304543e+01,7.982631166114865096e+01,8.993758316487173943e+00
1.480643064174210766e+00,1.256680415714809484e+00,3.918399134973331310e-02,2.366959333667411486e-02,4.074338640342232054e+01,7.364648809533803160e+02,7.033341726615725520e+02
1.372533105402316433e+00,1.352489374636405284e+00,1.097164689882142510e-02,7.950211486193393268e-03,4.293490125446467687e+01,5.677381761589939515e+02,6.198119895901216978e+02
1.475684231617252484e+00,1.258131877310505242e+00,3.935016910791124672e-02,4.036395938733434302e-02,4.527972027498717011e+01,9.686727151028184153e+02,5.466029514347723079e+02
1.515931281064031966e+00,1.230388182968461530e+00,2.706971889883642152e-02,4.467795843337853817e-02,3.765484245194870994e+01,3.627486487724366384e+02,1.618834029716706254e+03
1.647900866690463539e+00,1.133638490510995966e+00,2.830448133876110536e-02,4.898692460339956062e-02,4.429173503641960963e+01,6.026557880930774047e+01,8.035221092786832742e+01
1.493500821628606534e+00,1.245361847353468665e+00,3.746729744963836570e-03,4.797712748999295729e-02,4.214000495856739548e+01,2.228247462523665661e+02,5.545793899451840048e+01
1.392068873504002990e+00,1.339587687408647421e+00,1.846485470733882917e-02,1.415311668164397595e-02,3.286196250986448320e+01,4.137890640032612737e+02,8.876003881989227295e+01
1.549123889173645852e+00,1.203449864509891665e+00,8.563204557245348431e-03,1.941728699959420143e-02,4.022400396633006636e+01,6.773922433397119391e+01,2.220179726068663228e+02
1.406133754132690150e+00,1.318713039296409262e+00,1.931942134703394306e-02,2.289092316098867777e-02,4.587484857962348173e+01,6.097692225252617391e+02,9.714847949056141019e+00
1.371717684627691725e+00,1.362519231591140967e+00,1.515232438994919099e-02,1.714564251101776543e-02,2.771780738089152152e+01,3.214100304247942290e+02,8.309487516035429735e+02
1.514941499588813967e+00,1.231499188638079278e+00,3.757253556077450735e-02,1.619043507249512707e-03,3.624480738893947063e+01,3.722469019469874496e+01,5.407767198026974711e+02
1.432477246276455007e+00,1.294395091458784508e+00,6.281498226245424248e-04,1.861744632769160579e-02,4.639898443266788775e+01,5.510563198250976313e+01,2.493773562124758598e+02
1.540406722078459634e+00,1.208630110099701671e+00,4.232724234849158992e-04,4.340234628887994911e-02,4.325966490393723518e+01,1.148879735732477911e+02,1.417143706218622583e+03
1.625676103687372587e+00,1.155181269835099833e+00,3.606739215445212837e-02,2.909302916074382739e-02,3.008921088693288581e+01,4.615244007853354447e+01,7.414307580109966693e+02
