pressurec2,energy_densityc2,baryon_density
9.051890E-10,2.800000E-01,2.800000E-01
1.535973E-09,3.909423E-01,3.909423E-01
2.606322E-09,5.458425E-01,5.458425E-01
4.422547E-09,7.621176E-01,7.621176E-01
7.504416E-09,1.064086E+00,1.064086E+00
1.273390E-08,1.485701E+00,1.485701E+00
2.160756E-08,2.074369E+00,2.074369E+00
3.666486E-08,2.896280E+00,2.896280E+00
6.221491E-08,4.043852E+00,4.043852E+00
1.055696E-07,5.646117E+00,5.646117E+00
1.791362E-07,7.883236E+00,7.883236E+00
3.039679E-07,1.100675E+01,1.100675E+01
5.157890E-07,1.536788E+01,1.536787E+01
8.752185E-07,2.145697E+01,2.145697E+01
1.485118E-06,2.995871E+01,2.995871E+01
2.520028E-06,4.182903E+01,4.182903E+01
4.276118E-06,5.840264E+01,5.840263E+01
7.255947E-06,8.154308E+01,8.154307E+01
1.231228E-05,1.138523E+02,1.138523E+02
2.089214E-05,1.589631E+02,1.589631E+02
3.545090E-05,2.219479E+02,2.219479E+02
6.015500E-05,3.098887E+02,3.098886E+02
1.020742E-04,4.326737E+02,4.326735E+02
1.732050E-04,6.041088E+02,6.041085E+02
2.939036E-04,8.434704E+02,8.434699E+02
4.987114E-04,1.177673E+03,1.177672E+03
8.462403E-04,1.644293E+03,1.644292E+03
1.435946E-03,2.295800E+03,2.295797E+03
2.436590E-03,3.205448E+03,3.205444E+03
4.134537E-03,4.475520E+03,4.475513E+03
7.015705E-03,6.248824E+03,6.248812E+03
1.190463E-02,8.724753E+03,8.724733E+03
2.020041E-02,1.218170E+04,1.218167E+04
3.427714E-02,1.700838E+04,1.700832E+04
5.816329E-02,2.374750E+04,2.374740E+04
9.869459E-02,3.315683E+04,3.315666E+04
1.674703E-01,4.629436E+04,4.629407E+04
2.841726E-01,6.463731E+04,6.463683E+04
4.821993E-01,9.024822E+04,9.024739E+04
8.182216E-01,1.260068E+05,1.260054E+05
1.388402E+00,1.759340E+05,1.759316E+05
2.355916E+00,2.456438E+05,2.456397E+05
3.997644E+00,3.429746E+05,3.429677E+05
6.783418E+00,4.788709E+05,4.788593E+05
1.151047E+01,6.686138E+05,6.685941E+05
1.953158E+01,9.335396E+05,9.335062E+05
3.314223E+01,1.303439E+06,1.303382E+06
5.623752E+01,1.819908E+06,1.819812E+06
9.542684E+01,2.541026E+06,2.540862E+06
1.619254E+02,3.547887E+06,3.547609E+06
2.747637E+02,4.953723E+06,4.953252E+06
4.662338E+02,6.916641E+06,6.915843E+06
7.911306E+02,9.657410E+06,9.656055E+06
1.342433E+03,1.348430E+07,1.348200E+07
2.277912E+03,1.882777E+07,1.882388E+07
3.781086E+03,2.629548E+07,2.628232E+07
5.810601E+03,3.671619E+07,3.669597E+07
8.929467E+03,5.126682E+07,5.123574E+07
1.372240E+04,7.158425E+07,7.153649E+07
2.108795E+04,9.995426E+07,9.988086E+07
3.240701E+04,1.395687E+08,1.394559E+08
4.980161E+04,1.948848E+08,1.947115E+08
7.653284E+04,2.721269E+08,2.718606E+08
1.176122E+05,3.799872E+08,3.795779E+08
1.807410E+05,5.306042E+08,5.299752E+08
2.777546E+05,7.409300E+08,7.399633E+08
4.268406E+05,1.034639E+09,1.033153E+09
6.559492E+05,1.444795E+09,1.442512E+09
1.008033E+06,2.017576E+09,2.014068E+09
1.549099E+06,2.817479E+09,2.812087E+09
2.380584E+06,3.934585E+09,3.926299E+09
3.658374E+06,5.494720E+09,5.481988E+09
5.622022E+06,7.673642E+09,7.654075E+09
8.639667E+06,1.071686E+10,1.068679E+10
1.327705E+07,1.496735E+10,1.492114E+10
2.040356E+07,2.090424E+10,2.083323E+10
3.135526E+07,2.919696E+10,2.908783E+10
4.818533E+07,4.078078E+10,4.061308E+10
7.404902E+07,5.696262E+10,5.670490E+10
1.137952E+08,7.956871E+10,7.917266E+10
1.748752E+08,1.111513E+11,1.105427E+11
2.687403E+08,1.552775E+11,1.543422E+11
4.129878E+08,2.169333E+11,2.154960E+11
6.346608E+08,3.030892E+11,3.008804E+11
9.097463E+08,4.176878E+11,4.200960E+11
1.119735E+09,5.835834E+11,5.865475E+11
1.378195E+09,8.153025E+11,8.189508E+11
1.696312E+09,1.138947E+12,1.143438E+12
2.087857E+09,1.590966E+12,1.596493E+12
2.569780E+09,2.222257E+12,2.229060E+12
3.581617E+09,3.122299E+12,3.112264E+12
5.633405E+09,4.361196E+12,4.345413E+12
8.860594E+09,6.091989E+12,6.067163E+12
1.393653E+10,8.510157E+12,8.471110E+12
2.192030E+10,1.188897E+13,1.182756E+13
3.447771E+10,1.661050E+13,1.651390E+13
5.422883E+10,2.320901E+13,2.305708E+13
8.529472E+10,3.243179E+13,3.219281E+13
1.341572E+11,4.532421E+13,4.494833E+13
2.110114E+11,6.281655E+13,6.275788E+13
2.267497E+11,6.487782E+13,6.481049E+13
2.375602E+11,6.710838E+13,6.703121E+13
2.434766E+11,6.941660E+13,6.932899E+13
2.609709E+11,7.180250E+13,7.170372E+13
2.815787E+11,7.427051E+13,7.415954E+13
3.040398E+11,7.682374E+13,7.669945E+13
3.285642E+11,7.946526E+13,7.932639E+13
3.552904E+11,8.219805E+13,8.204326E+13
3.845187E+11,8.502542E+13,8.485322E+13
4.164004E+11,8.795062E+13,8.775939E+13
4.512505E+11,9.097715E+13,9.076512E+13
4.893341E+11,9.410857E+13,9.387378E+13
5.309374E+11,9.734857E+13,9.708892E+13
5.764850E+11,1.007010E+14,1.004142E+14
6.262346E+11,1.041699E+14,1.038533E+14
6.807365E+11,1.077593E+14,1.074102E+14
7.403350E+11,1.114736E+14,1.110890E+14
8.055639E+11,1.153172E+14,1.148937E+14
8.770271E+11,1.192948E+14,1.188288E+14
9.551744E+11,1.234111E+14,1.228986E+14
1.040918E+12,1.276712E+14,1.271079E+14
1.134745E+12,1.320803E+14,1.314613E+14
1.237564E+12,1.366437E+14,1.359638E+14
1.350299E+12,1.413670E+14,1.406205E+14
1.473695E+12,1.462561E+14,1.454366E+14
1.609209E+12,1.513171E+14,1.504179E+14
1.757630E+12,1.565562E+14,1.555696E+14
1.920372E+12,1.619801E+14,1.608978E+14
2.099000E+12,1.675955E+14,1.664085E+14
2.294670E+12,1.734095E+14,1.721078E+14
2.509321E+12,1.794298E+14,1.780026E+14
2.740468E+12,1.856639E+14,1.840992E+14
2.987636E+12,1.921195E+14,1.904045E+14
3.255658E+12,1.988049E+14,1.969258E+14
