rhoc,M,R,Lambda
2.800000000000000000e+14,3.765846008022267211e-01,1.440002800000039329e+01,8.785265486644869670e+05
2.822663057840186250e+14,3.826033053891589319e-01,1.436002820000038938e+01,8.207993541983994655e+05
2.845326115680372500e+14,3.886045177863865496e-01,1.433002835000038644e+01,7.676141934817052679e+05
2.867989173520558125e+14,3.950793701573112604e-01,1.429002855000038252e+01,7.147885266494741663e+05
2.890652231360744375e+14,4.014896851112616516e-01,1.426002870000037781e+01,6.666435444609399419e+05
2.913315289200930625e+14,4.078404072655171797e-01,1.423002885000037487e+01,6.226925082577373832e+05
2.935978347041116875e+14,4.141205327718195384e-01,1.420002900000037194e+01,5.825206917789531872e+05
2.958641404881302500e+14,4.203418571858117403e-01,1.417002915000036900e+01,5.457324515985618345e+05
2.981304462721488750e+14,4.264964111546163394e-01,1.414002930000036429e+01,5.119733093711857218e+05
3.003967520561675000e+14,4.325846444358772414e-01,1.412002940000036233e+01,4.809907913824217976e+05
3.026630578401861250e+14,4.390420716712556404e-01,1.409002955000035939e+01,4.504825679516983218e+05
3.049293636242047500e+14,4.456235511604399457e-01,1.407002965000035744e+01,4.217343426350255031e+05
3.071956694082233125e+14,4.521369189001628874e-01,1.405002975000035548e+01,3.953482040342924884e+05
3.094619751922419375e+14,4.585857027134768171e-01,1.403002985000035174e+01,3.710920957542595570e+05
3.117282809762605625e+14,4.649703074684156667e-01,1.401002995000034979e+01,3.488048230638236273e+05
3.139945867602791875e+14,4.712889381737229710e-01,1.399003005000034783e+01,3.282674398378227488e+05
3.162608925442977500e+14,4.775411030860028938e-01,1.397003015000034587e+01,3.093181589590383228e+05
3.185271983283163750e+14,4.839187242470957551e-01,1.395003025000034391e+01,2.912907942326159682e+05
3.207935041123350000e+14,4.906456614773437308e-01,1.394003030000034293e+01,2.735775516239168937e+05
3.230598098963536250e+14,4.973119193174044272e-01,1.392003040000034098e+01,2.572741533585120051e+05
3.253261156803722500e+14,5.039081658511609385e-01,1.390003050000033724e+01,2.422376350017117802e+05
3.275924214643908125e+14,5.104400684974688129e-01,1.389003055000033626e+01,2.283424579793864395e+05
3.298587272484094375e+14,5.169056980960877734e-01,1.388003060000033528e+01,2.154989332289329614e+05
3.321250330324280625e+14,5.233022335177782702e-01,1.386003070000033333e+01,2.036092650414702948e+05
3.343913388164466250e+14,5.296312200584376573e-01,1.385003075000033235e+01,1.925948590612679254e+05
3.366576446004652500e+14,5.364559894460818601e-01,1.384003080000033137e+01,1.814616028440114460e+05
3.389239503844838750e+14,5.432567117532888235e-01,1.383003085000033039e+01,1.711201380861933576e+05
3.411902561685025000e+14,5.499878696053529525e-01,1.381003095000032843e+01,1.615531727506019233e+05
3.434565619525211250e+14,5.566521439012853678e-01,1.380003100000032745e+01,1.526821650261424656e+05
3.457228677365396875e+14,5.632515622138450917e-01,1.379003105000032647e+01,1.444509537091869279e+05
3.479891735205583125e+14,5.697817369101522145e-01,1.378003110000032549e+01,1.368071712000801926e+05
3.502554793045769375e+14,5.762430078572691183e-01,1.377003115000032274e+01,1.296989261868805188e+05
3.525217850885955625e+14,5.829669063107951743e-01,1.377003115000032274e+01,1.227548546694664401e+05
3.547880908726141250e+14,5.898818491746508075e-01,1.376003120000032176e+01,1.160522823971236940e+05
3.570543966566327500e+14,5.967274245818581235e-01,1.375003125000032078e+01,1.098319797397928778e+05
3.593207024406513750e+14,6.035113992667331395e-01,1.374003130000031980e+01,1.040492868597229390e+05
3.615870082246700000e+14,6.102230079520221118e-01,1.373003135000031882e+01,9.866732070977026888e+04
3.638533140086886250e+14,6.168691932697805136e-01,1.372003140000031784e+01,9.365019096915452974e+04
3.661196197927072500e+14,6.234431293359046222e-01,1.372003140000031784e+01,8.897549402334571641e+04
3.683859255767258125e+14,6.300571864621568041e-01,1.371003145000031687e+01,8.454351004380198719e+04
3.706522313607444375e+14,6.370704894170495791e-01,1.370003150000031589e+01,8.011724110077120713e+04
3.729185371447630625e+14,6.440162964774368559e-01,1.370003150000031589e+01,7.599270283114336780e+04
3.751848429287816250e+14,6.508922342628318258e-01,1.369003155000031491e+01,7.214879438311258855e+04
3.774511487128002500e+14,6.577028524740643478e-01,1.369003155000031491e+01,6.856063615192443831e+04
3.797174544968188750e+14,6.644461327616510982e-01,1.368003160000031393e+01,6.521045917044208181e+04
3.819837602808375000e+14,6.711188380143644494e-01,1.368003160000031393e+01,6.207643441524900845e+04
3.842500660648561250e+14,6.777251182491961234e-01,1.367003165000031295e+01,5.914364420949753548e+04
3.865163718488746875e+14,6.847090474558072959e-01,1.367003165000031295e+01,5.621580496614878211e+04
3.887826776328933125e+14,6.917318161260893605e-01,1.366003170000031197e+01,5.343556788418270298e+04
3.910489834169119375e+14,6.986909716374923862e-01,1.366003170000031197e+01,5.083676363102027972e+04
3.933152892009305625e+14,7.055830090963418622e-01,1.365003175000031099e+01,4.840409972179477336e+04
3.955815949849491250e+14,7.124011107447300040e-01,1.365003175000031099e+01,4.612688344040807715e+04
3.978479007689677500e+14,7.191522886986887464e-01,1.364003180000030824e+01,4.399222049184550997e+04
4.001142065529863750e+14,7.258300651384433921e-01,1.364003180000030824e+01,4.199066983619098755e+04
4.023805123370050000e+14,7.326755485698828174e-01,1.364003180000030824e+01,4.004678460214562074e+04
4.046468181210236250e+14,7.397635298772430312e-01,1.363003185000030726e+01,3.814099889017497480e+04
4.069131239050421875e+14,7.467827650740418433e-01,1.363003185000030726e+01,3.635658852188763558e+04
4.091794296890608125e+14,7.537312117616893348e-01,1.362003190000030628e+01,3.468203237811785220e+04
4.114457354730794375e+14,7.606108219853798813e-01,1.362003190000030628e+01,3.310992335630580783e+04
4.137120412570980625e+14,7.674210984992161366e-01,1.362003190000030628e+01,3.163300319551598295e+04
4.159783470411166250e+14,7.741626346051104779e-01,1.362003190000030628e+01,3.024430021626683447e+04
4.182446528251352500e+14,7.808589514943852228e-01,1.361003195000030530e+01,2.893367309174618276e+04
